roadName,highway,jamFactor,speed_ratio,congestionLabel,kmeans_cluster
2nd St,secondary_link,3.3,0.5,Moderate Flow,0
Market St,secondary,0.0,0.9230769465088753,Congested,2
Stockton St,tertiary,1.4,0.6250000140624992,Free Flowing,1
Stockton St,busway,1.4,0.6250000140624992,Congested,2
Stockton St,tertiary,1.4,0.6250000140624992,Free Flowing,1
Stockton St,tertiary,1.4,0.6250000140624992,Free Flowing,1
Stockton St,residential,1.4,0.6250000140624992,Congested,2
Stockton St,residential,1.4,0.6250000140624992,Congested,2
Stockton St,busway,1.4,0.6250000140624992,Congested,2
Stockton St,tertiary,1.4,0.6250000140624992,Free Flowing,1
Stockton St,secondary,0.0,0.8666666186666704,Congested,2
Stockton St,residential,0.0,0.8666666186666704,Congested,2
Stockton St,residential,0.0,0.8666666186666704,Congested,2
Stockton St,tertiary,0.0,0.8666666186666704,Congested,2
Howard St,secondary,2.7,0.5666666306666696,Moderate Flow,0
Howard St,secondary,2.7,0.5666666306666696,Moderate Flow,0
Ofarrell St,secondary,0.0,0.7499999625000018,Congested,2
Ofarrell St,secondary,0.0,0.7499999625000018,Congested,2
Market St,residential,0.9,0.7368420952908592,Congested,2
Market St,residential,0.9,0.7368420952908592,Congested,2
Market St,residential,0.9,0.7368420952908592,Congested,2
Market St,residential,0.9,0.7368420952908592,Congested,2
Market St,residential,0.9,0.7368420952908592,Congested,2
Market St,tertiary,0.9,0.7368420952908592,Congested,2
Market St,tertiary,0.9,0.7368420952908592,Congested,2
Geary St,secondary,0.0,0.7857142746938779,Congested,2
Montgomery St,secondary,4.0,0.3793103765041639,Moderate Flow,0
Montgomery St,tertiary,4.0,0.3793103765041639,Free Flowing,1
Montgomery St,tertiary,4.0,0.3793103765041639,Free Flowing,1
Montgomery St,secondary,1.2,0.5999999520000038,Congested,2
Montgomery St,secondary,1.2,0.5999999520000038,Congested,2
Stockton St,secondary,0.6,0.8333332973333362,Congested,2
Stockton St,secondary,0.6,0.8333332973333362,Congested,2
Stockton St,residential,0.6,0.8333332973333362,Congested,2
Market St,tertiary,1.4,0.545454548429752,Congested,2
4th St,secondary,1.5,0.7037037333333332,Congested,2
1st St,secondary,5.1,0.3749999812500009,Moderate Flow,0
New Montgomery St,tertiary,3.3,0.636363645289256,Moderate Flow,0
New Montgomery St,tertiary,3.3,0.636363645289256,Moderate Flow,0
2nd St,secondary_link,0.0,1.0,Congested,2
2nd St,secondary,0.0,1.0,Congested,2
2nd St,tertiary,0.0,1.0,Congested,2
2nd St,tertiary,0.0,1.0,Congested,2
Battery St,secondary,1.4,0.7272727823140506,Free Flowing,1
Battery St,tertiary,1.4,0.7272727823140506,Free Flowing,1
4th St/5th St,secondary,8.8,0.21249999606250017,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Howard St,secondary,4.0,0.4761905006802714,Moderate Flow,0
Howard St,secondary,4.0,0.4761905006802714,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Howard St,tertiary,4.0,0.4761905006802714,Moderate Flow,0
Howard St,tertiary,4.0,0.4761905006802714,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Howard St,residential,4.0,0.4761905006802714,Moderate Flow,0
Post St,tertiary,4.0,0.34999998200000143,Moderate Flow,0
2nd St,secondary,0.0,1.0,Congested,2
Montgomery St,residential,0.0,0.9499999640000028,Congested,2
Montgomery St,tertiary,0.0,0.9499999640000028,Congested,2
Montgomery St,tertiary,0.0,0.9499999640000028,Congested,2
Embarcadero Ctr,tertiary,0.3,1.0,Free Flowing,1
Broadway,tertiary,2.5,0.5294117559861593,Free Flowing,1
Broadway,tertiary,2.5,0.5294117559861593,Free Flowing,1
Broadway,unclassified,2.5,0.5294117559861593,Free Flowing,1
Stockton St Tunnel,tertiary,1.8,0.6874999789062503,Free Flowing,1
Stockton St Tunnel,tertiary,1.8,0.6874999789062503,Free Flowing,1
Stockton St Tunnel,tertiary,1.8,0.6874999789062503,Free Flowing,1
Stockton St Tunnel,tertiary_link,1.8,0.6874999789062503,Free Flowing,1
Stockton St Tunnel,secondary,1.8,0.6874999789062503,Congested,2
Stockton St Tunnel,residential,1.8,0.6874999789062503,Congested,2
Stockton St Tunnel,residential,1.8,0.6874999789062503,Congested,2
Stockton St Tunnel,secondary,1.8,0.6874999789062503,Congested,2
Stockton St Tunnel,tertiary,3.8,0.5217391474480149,Free Flowing,1
Stockton St Tunnel,tertiary,3.8,0.5217391474480149,Free Flowing,1
Stockton St Tunnel,tertiary,3.8,0.5217391474480149,Free Flowing,1
Stockton St Tunnel,residential,3.8,0.5217391474480149,Free Flowing,1
