roadName,highway,jamFactor,speed_ratio,congestionLabel,kmeans_cluster
Kearny St,secondary,0.6,0.6666666666666666,Free Flowing,2
Kearny St,secondary,0.6,0.6666666666666666,Free Flowing,2
Drumm St,tertiary,0.0,1.0,Moderate Flow,1
Pine St,secondary,3.0,0.5,Congested,0
Fremont St,secondary,3.9,0.5,Congested,0
Fremont St,busway,3.9,0.5,Congested,0
1st St,secondary,3.3,0.39999997600000187,Congested,0
Battery St,tertiary,0.0,1.0,Moderate Flow,1
Columbus Ave,residential,2.4,0.5925926266666667,Moderate Flow,1
Columbus Ave,tertiary,2.4,0.5925926266666667,Moderate Flow,1
Fremont St,secondary,1.0,0.72222224,Free Flowing,2
Broadway St,tertiary,0.5,0.7777778,Moderate Flow,1
Sansome St,residential,1.2,0.7272727823140506,Moderate Flow,1
Sansome St,tertiary,1.2,0.7272727823140506,Moderate Flow,1
Sansome St,tertiary,1.2,0.7272727823140506,Moderate Flow,1
Sansome St,tertiary,1.2,0.7272727823140506,Moderate Flow,1
Montgomery St,tertiary,1.3,0.719999973504001,Moderate Flow,1
Montgomery St,secondary,1.3,0.719999973504001,Moderate Flow,1
Montgomery St,secondary,1.3,0.719999973504001,Moderate Flow,1
Montgomery St,tertiary,1.3,0.719999973504001,Moderate Flow,1
Montgomery St,tertiary,1.3,0.719999973504001,Moderate Flow,1
Drumm St,tertiary,3.0,0.4782608682041588,Moderate Flow,1
Drumm St,tertiary,3.0,0.4782608682041588,Moderate Flow,1
Drumm St,tertiary,3.0,0.4782608682041588,Moderate Flow,1
Drumm St,tertiary,3.0,0.4782608682041588,Moderate Flow,1
Drumm St,secondary,3.0,0.4782608682041588,Congested,0
Drumm St,tertiary,3.0,0.4782608682041588,Moderate Flow,1
Battery St,tertiary,0.0,1.0,Moderate Flow,1
Battery St,tertiary,0.0,1.0,Moderate Flow,1
Battery St,tertiary,0.0,1.0,Moderate Flow,1
Battery St,secondary,0.0,1.0,Free Flowing,2
Battery St,tertiary,0.0,1.0,Moderate Flow,1
Bay St,tertiary,3.0,0.6363636314049589,Moderate Flow,1
Bay St,unclassified,3.0,0.6363636314049589,Moderate Flow,1
Harrison St,secondary_link,0.0,1.0,Free Flowing,2
Harrison St,secondary,0.0,1.0,Free Flowing,2
Harrison St,tertiary,0.0,1.0,Free Flowing,2
Harrison St,tertiary,0.0,1.0,Free Flowing,2
Mission St,"['tertiary', 'tertiary_link']",8.3,0.2941176657439443,Congested,0
Mission St,tertiary,8.3,0.2941176657439443,Congested,0
1st St,secondary_link,3.3,0.4545454991735545,Congested,0
1st St,secondary,3.3,0.4545454991735545,Congested,0
1st St,tertiary,3.3,0.4545454991735545,Congested,0
1st St,tertiary,3.3,0.4545454991735545,Congested,0
New Montgomery St,tertiary,0.0,1.0,Free Flowing,2
New Montgomery St,tertiary,0.0,1.0,Free Flowing,2
2nd St,tertiary,0.0,1.0,Free Flowing,2
2nd St,tertiary,0.0,1.0,Free Flowing,2
Mason St,tertiary,1.3,0.6999999640000029,Moderate Flow,1
Mason St,busway,1.3,0.6999999640000029,Free Flowing,2
Mason St,tertiary,1.3,0.6999999640000029,Moderate Flow,1
Mason St,tertiary,1.3,0.6999999640000029,Moderate Flow,1
Mason St,residential,1.3,0.6999999640000029,Free Flowing,2
Mason St,residential,1.3,0.6999999640000029,Free Flowing,2
Mason St,busway,1.3,0.6999999640000029,Free Flowing,2
Mason St,tertiary,1.3,0.6999999640000029,Moderate Flow,1
Kearny St,residential,1.9,0.6551724865636197,Free Flowing,2
Kearny St,residential,1.9,0.6551724865636197,Free Flowing,2
Kearny St,secondary,1.9,0.6551724865636197,Free Flowing,2
Kearny St,residential,1.9,0.6551724865636197,Free Flowing,2
Kearny St,secondary,1.9,0.6551724865636197,Free Flowing,2
Broadway,tertiary,3.8,0.35294117771626293,Moderate Flow,1
Broadway,tertiary,3.8,0.35294117771626293,Moderate Flow,1
Broadway,unclassified,3.8,0.35294117771626293,Moderate Flow,1
Montgomery St,secondary,0.0,0.8999999280000057,Free Flowing,2
Montgomery St,secondary,0.0,0.8999999280000057,Free Flowing,2
Bush St,secondary,2.9,0.5185185333333333,Congested,0
Bush St,tertiary,2.9,0.5185185333333333,Congested,0
Bush St,secondary,2.9,0.5185185333333333,Congested,0
Mission St,secondary,2.6,0.5937500175781247,Congested,0
Mission St,residential,2.6,0.5937500175781247,Congested,0
Post St,tertiary,0.7,0.7999999820000014,Free Flowing,2
Stockton St,tertiary,0.6,0.7499999943750003,Free Flowing,2
Stockton St,secondary,0.6,0.7499999943750003,Free Flowing,2
Kearney St,secondary,2.4,0.6153846441420115,Moderate Flow,1
Kearney St,secondary,2.4,0.6153846441420115,Moderate Flow,1
Kearney St,secondary_link,2.4,0.6153846441420115,Moderate Flow,1
Battery St,secondary,3.8,0.545454548429752,Congested,0
Mission St,secondary,9.5,0.11538462337278098,Congested,0
Mission St,tertiary,9.5,0.11538462337278098,Congested,0
Mission St,tertiary,9.5,0.11538462337278098,Congested,0
Mission St,secondary,9.5,0.11538462337278098,Congested,0
Mission St,residential,9.5,0.11538462337278098,Congested,0
Stockton St,tertiary,3.1,0.4999999887500006,Congested,0
Stockton St,tertiary,3.1,0.4999999887500006,Congested,0
Stockton St,tertiary,3.1,0.4999999887500006,Congested,0
Washington St,tertiary,0.8,0.785714248979593,Moderate Flow,1
Kearny St,secondary,0.9,0.7058823766089961,Moderate Flow,1
Kearny St,tertiary,0.9,0.7058823766089961,Moderate Flow,1
Washington St,secondary,0.0,0.9375000210937489,Free Flowing,2
Washington St,tertiary,0.0,0.9375000210937489,Moderate Flow,1
Washington St,tertiary,0.0,0.9375000210937489,Moderate Flow,1
